;date;state;fips;cases;deaths;growth_rate;growth_accel;growth_accel_rate;growth_rate_NORM_(%);growth_accel_NORM_(%);growth_accel_rate_NORM_(%);LENTO;EXPONENCIAL;DESACELERACAO;ESTAVEL;LINEAR;CLASSIFICACAO
34;2020-06-07;Iowa;19;21794;606;322.1319243575808;0.21896474409041117;-0.17017779028526592;1.4780761877469981;0.0010047019550812662;-0.0007808469775409098;0;0;0;0;1;LINEAR
35;2020-06-07;Louisiana;22;42927;2936;434.4321410172173;-1.6014549935961968;0.12430838175278427;1.0120253943141084;-0.0037306473631891278;0.0002895808739319875;0;0;0;0;1;LINEAR
36;2020-06-07;Ohio;39;38476;2377;498.9797715876505;-1.6678897328661089;-0.30876519002155817;1.2968597868480363;-0.004334883389297507;-0.0008024877586587956;0;0;0;0;1;LINEAR
37;2020-06-07;Michigan;26;64615;5898;717.4036908014941;5.268100695682979;1.3134361251567856;1.1102742254917497;0.008153061511542178;0.0020327108645930288;0;0;0;0;1;LINEAR
38;2020-06-07;South Dakota;46;5438;65;72.05641012143532;-0.16647187948808576;-0.011749845187242671;1.325053514553794;-0.0030612703105569283;-0.00021606923845609915;0;0;0;0;1;LINEAR
39;2020-06-07;Arkansas;5;9426;154;165.04668557197428;4.770066934770124;0.2539100985056728;1.750972688011609;0.050605420483451354;0.0026937205442995205;0;1;0;0;0;EXPONENCIAL
40;2020-06-07;Delaware;10;9942;398;123.23210471985456;-1.6923799856171748;-0.12206485371660929;1.2395102063956402;-0.017022530533264683;-0.0012277696008510287;0;0;1;0;0;DESACELERACAO
41;2020-06-07;Mississippi;28;17270;817;250.9095573038392;1.1247332031543318;-0.15977462329004857;1.452863678655699;0.0065126415932503295;-0.0009251570543720242;0;0;0;0;1;LINEAR
42;2020-06-07;New Mexico;35;8940;396;132.89057712287615;1.1391671205179845;0.05486780015506661;1.4864717798979434;0.012742361527046808;0.0006137337824951522;0;1;0;0;0;EXPONENCIAL
43;2020-06-07;North Dakota;38;2864;75;41.619307880533924;0.020919686716778383;-0.00828929477269052;1.4531881243203186;0.000730435988714329;-0.0002894306834039986;0;0;0;0;1;LINEAR
44;2020-06-07;Wyoming;56;947;17;10.391507047626602;-0.0991709965127173;-0.005647252304463909;1.0973080303723972;-0.010472122123834984;-0.0005963307607670443;0;0;1;0;0;DESACELERACAO
45;2020-06-07;Alaska;2;588;8;7.6906966591069486;0.24851218275480527;0.018570404904441278;1.307941608691658;0.04226397665898049;0.0031582321266056595;0;1;0;0;0;EXPONENCIAL
46;2020-06-07;Maine;23;2570;99;35.54429335871764;0.18099008810238973;-0.01235797397670327;1.3830464341913478;0.007042415879470418;-0.00048085501854876536;0;0;0;0;1;LINEAR
47;2020-06-07;Alabama;1;20500;692;322.7960244208795;3.7579585162826747;-0.059592874552782144;1.574614753272583;0.01833150495747646;-0.00029069694903796167;0;1;0;0;0;EXPONENCIAL
48;2020-06-07;Idaho;16;3153;83;34.077813488738315;0.08397723194517417;0.00804912280634045;1.0808060097918908;0.0026634072929011795;0.0002552845799663955;0;0;0;0;1;LINEAR
49;2020-06-07;Montana;30;545;18;4.201225798200039;0.0009547136282499893;0.0046549202166115385;0.770867118935787;0.00017517681252293381;0.0008541138012131263;0;0;0;1;0;ESTAVEL
50;2020-06-07;Puerto Rico;72;4985;142;86.90260519540045;2.512102700953524;0.15571330160800043;1.7432819497572807;0.050393233720231176;0.0031236369429889755;0;1;0;0;0;EXPONENCIAL
51;2020-06-07;Virgin Islands;78;71;6;0.4105603374853483;-0.01254182800283838;0.0006464209400890447;0.578253996458237;-0.017664546482870958;0.0009104520282944292;0;0;1;0;0;DESACELERACAO
52;2020-06-07;Guam;66;1148;6;7.031212640838246;-0.2999172882193939;0.010012803310595694;0.6124749687141329;-0.026125199322246856;0.0008721954103306354;0;0;1;0;0;DESACELERACAO
53;2020-06-07;West Virginia;54;2144;84;26.91600684730978;-0.14199557951564248;-0.038573291928641604;1.255410767131986;-0.006622928149050489;-0.0017991274220448509;0;0;0;0;1;LINEAR
54;2020-06-07;Northern Mariana Islands;69;27;2;0.34477265152134906;0.00626457987567919;0.0009708114631250486;1.2769357463753668;0.023202147687700705;0.0035955980115742543;1;1;0;0;0;LENTO
