,date,state,city,place_type,confirmed,deaths,is_last,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate,growth_rate,growth_accel,growth_accel_rate
139,2020-06-08,BA,Abaíra,city,4,0,True,8739.0,2900108,45.77183,0.0,0.03280731840160915,-0.002259930082794203,8.600994472277176e-05
140,2020-06-08,BA,Acajutiba,city,4,0,True,15159.0,2900306,26.38696,0.0,0.09706202729062123,0.004846536339925459,0.00016947383604373528
141,2020-06-08,BA,Adustina,city,3,1,True,17040.0,2900355,17.605629999999998,0.3333,0.04682371004681658,-0.00025989592610266515,-0.0003547229209419301
142,2020-06-08,BA,Água Fria,city,9,1,True,16970.0,2900405,53.034769999999995,0.1111,0.27291607063153556,0.01756240682973141,0.0008739125801541475
143,2020-06-08,BA,Aiquara,city,8,1,True,4446.0,2900603,179.93702,0.125,0.19156167468146482,0.009020786709031477,0.000503796312587693
144,2020-06-08,BA,Alagoinhas,city,168,3,True,151596.0,2900702,110.82087,0.0179,4.512863410719941,0.23866363918882535,0.006873576177906544
145,2020-06-08,BA,Alcobaça,city,3,0,True,22470.0,2900801,13.35113,0.0,0.20644463544930633,0.017658142306877008,-0.00022587094350516904
146,2020-06-08,BA,Almadina,city,3,0,True,5464.0,2900900,54.904830000000004,0.0,0.05352734622637186,0.0011283891395193217,-8.060817873037113e-05
147,2020-06-08,BA,Amargosa,city,12,1,True,37241.0,2901007,32.22255,0.0833,0.3503173324710492,-0.005011584434553519,-0.0015052725785377414
148,2020-06-08,BA,Amélia Rodrigues,city,31,0,True,25102.0,2901106,123.49614,0.0,0.7689962990277821,0.016966096545443704,-0.002113254528766351
149,2020-06-08,BA,Anagé,city,2,1,True,22005.0,2901205,9.08884,0.5,0.03877045560812311,0.00011995476465658589,-0.00019958807308655623
150,2020-06-08,BA,Andaraí,city,2,0,True,13143.0,2901304,15.217229999999999,0.0,0.0,0.0,0.0
